,Ligand,Concentration,Animal,Cell,Predicted
216,hIL13,-8.754833720836121,Human,Fibroblast,0.5450192765563159
217,hIL13,-8.733691145886288,Human,Fibroblast,0.5510572416156122
218,hIL13,-8.712548570936455,Human,Fibroblast,0.557014209021907
219,hIL13,-8.691405995986623,Human,Fibroblast,0.5628890100013123
220,hIL13,-8.67026342103679,Human,Fibroblast,0.5686805824195449
221,hIL13,-8.649120846086957,Human,Fibroblast,0.5743879677962401
222,hIL13,-8.627978271137124,Human,Fibroblast,0.5800103082578218
223,hIL13,-8.606835696187291,Human,Fibroblast,0.5855468434454841
224,hIL13,-8.585693121237458,Human,Fibroblast,0.5909969073936977
225,hIL13,-8.564550546287625,Human,Fibroblast,0.5963599253935926
226,hIL13,-8.543407971337793,Human,Fibroblast,0.6016354108546601
227,hIL13,-8.522265396387962,Human,Fibroblast,0.6068229621767002
228,hIL13,-8.501122821438127,Human,Fibroblast,0.6119222596436409
229,hIL13,-8.479980246488296,Human,Fibroblast,0.616933062349192
230,hIL13,-8.458837671538461,Human,Fibroblast,0.6218552051637217
231,hIL13,-8.43769509658863,Human,Fibroblast,0.626688595750649
232,hIL13,-8.416552521638796,Human,Fibroblast,0.6314332116398044
233,hIL13,-8.395409946688964,Human,Fibroblast,0.6360890973642823
234,hIL13,-8.37426737173913,Human,Fibroblast,0.6406563616665172
235,hIL13,-8.353124796789299,Human,Fibroblast,0.645135174778447
236,hIL13,-8.331982221839464,Human,Fibroblast,0.6495257657798948
237,hIL13,-8.310839646889633,Human,Fibroblast,0.6538284200384995
238,hIL13,-8.2896970719398,Human,Fibroblast,0.6580434767338444
239,hIL13,-8.268554496989967,Human,Fibroblast,0.6621713264676966
240,hIL13,-8.247411922040135,Human,Fibroblast,0.6662124089616362
241,hIL13,-8.226269347090302,Human,Fibroblast,0.6701672108426932
242,hIL13,-8.205126772140469,Human,Fibroblast,0.6740362635170012
243,hIL13,-8.183984197190636,Human,Fibroblast,0.6778201411308993
244,hIL13,-8.162841622240803,Human,Fibroblast,0.6815194586183418
245,hIL13,-8.14169904729097,Human,Fibroblast,0.6851348698329564
246,hIL13,-8.120556472341137,Human,Fibroblast,0.6886670657625761
247,hIL13,-8.099413897391305,Human,Fibroblast,0.6921167728236075
248,hIL13,-8.078271322441472,Human,Fibroblast,0.6954847512321476
