,Cell,Animal,Predicted,Ligand,Concentration
43,Monocyte,Human,0.00023185228718987144,hIL13,-12.950477751438127
44,Monocyte,Human,0.00024414714875567575,hIL13,-12.928031041471572
45,Monocyte,Human,0.00025709379069262006,hIL13,-12.905584331505016
46,Monocyte,Human,0.000270726743459003,hIL13,-12.883137621538461
47,Monocyte,Human,0.0002850823644966592,hIL13,-12.860690911571906
48,Monocyte,Human,0.0003001989346348219,hIL13,-12.83824420160535
49,Monocyte,Human,0.0003161167595525197,hIL13,-12.815797491638795
50,Monocyte,Human,0.0003328782765618456,hIL13,-12.79335078167224
51,Monocyte,Human,0.00035052816698770173,hIL13,-12.770904071705685
52,Monocyte,Human,0.000369113474433529,hIL13,-12.74845736173913
53,Monocyte,Human,0.00038868372923708117,hIL13,-12.726010651772574
54,Monocyte,Human,0.0004092910794355602,hIL13,-12.703563941806019
55,Monocyte,Human,0.0004309904285753795,hIL13,-12.681117231839464
56,Monocyte,Human,0.000453839580718525,hIL13,-12.658670521872908
57,Monocyte,Human,0.00047789939301495554,hIL13,-12.636223811906355
58,Monocyte,Human,0.0005032339362287556,hIL13,-12.6137771019398
59,Monocyte,Human,0.000529910663624813,hIL13,-12.591330391973244
60,Monocyte,Human,0.0005580005886428004,hIL13,-12.568883682006689
61,Monocyte,Human,0.0005875784718060061,hIL13,-12.546436972040134
62,Monocyte,Human,0.0006187230173343358,hIL13,-12.523990262073578
63,Monocyte,Human,0.0006515170799534683,hIL13,-12.501543552107023
64,Monocyte,Human,0.0006860478824157931,hIL13,-12.479096842140468
65,Monocyte,Human,0.0007224072442733914,hIL13,-12.456650132173912
66,Monocyte,Human,0.0007606918224689624,hIL13,-12.434203422207357
67,Monocyte,Human,0.0008010033643372817,hIL13,-12.411756712240802
68,Monocyte,Human,0.0008434489736375313,hIL13,-12.389310002274247
69,Monocyte,Human,0.0008881413902656362,hIL13,-12.366863292307691
70,Monocyte,Human,0.0009351992843256828,hIL13,-12.344416582341136
71,Monocyte,Human,0.0009847475652704882,hIL13,-12.32196987237458
72,Monocyte,Human,0.001036917706853504,hIL13,-12.299523162408025
73,Monocyte,Human,0.0010918480886675356,hIL13,-12.27707645244147
74,Monocyte,Human,0.001149684355080008,hIL13,-12.254629742474915
75,Monocyte,Human,0.0012105797924100877,hIL13,-12.23218303250836
76,Monocyte,Human,0.001274695725229358,hIL13,-12.209736322541806
77,Monocyte,Human,0.0013422019327055362,hIL13,-12.18728961257525
78,Monocyte,Human,0.001413277085947055,hIL13,-12.164842902608695
79,Monocyte,Human,0.0014881092073462552,hIL13,-12.14239619264214
80,Monocyte,Human,0.001566896152959205,hIL13,-12.119949482675585
81,Monocyte,Human,0.0016498461190015614,hIL13,-12.09750277270903
82,Monocyte,Human,0.0017371781735820821,hIL13,-12.075056062742474
83,Monocyte,Human,0.0018291228148380667,hIL13,-12.052609352775919
84,Monocyte,Human,0.001925922556680233,hIL13,-12.030162642809364
85,Monocyte,Human,0.00202783254339829,hIL13,-12.007715932842808
86,Monocyte,Human,0.0021351211944220963,hIL13,-11.985269222876253
87,Monocyte,Human,0.0022480708805775575,hIL13,-11.962822512909698
88,Monocyte,Human,0.0023669786332186473,hIL13,-11.940375802943143
89,Monocyte,Human,0.002492156887662097,hIL13,-11.917929092976587
90,Monocyte,Human,0.0026239342623912924,hIL13,-11.895482383010034
91,Monocyte,Human,0.002762656375538183,hIL13,-11.873035673043479
92,Monocyte,Human,0.0029086867001907675,hIL13,-11.850588963076923
93,Monocyte,Human,0.0030624074601113384,hIL13,-11.828142253110368
94,Monocyte,Human,0.0032242205674850697,hIL13,-11.805695543143813
95,Monocyte,Human,0.00339454860435023,hIL13,-11.783248833177257
96,Monocyte,Human,0.0035738358493889416,hIL13,-11.760802123210702
97,Monocyte,Human,0.0037625493517805917,hIL13,-11.738355413244147
98,Monocyte,Human,0.003961180053837807,hIL13,-11.715908703277591
99,Monocyte,Human,0.004170243964156393,hIL13,-11.693461993311036
100,Monocyte,Human,0.004390283383014939,hIL13,-11.671015283344481
101,Monocyte,Human,0.004621868181755608,hIL13,-11.648568573377926
102,Monocyte,Human,0.004865597137863853,hIL13,-11.62612186341137
103,Monocyte,Human,0.0051220993274400444,hIL13,-11.603675153444815
104,Monocyte,Human,0.005392035576718612,hIL13,-11.58122844347826
105,Monocyte,Human,0.005676099974238981,hIL13,-11.558781733511704
106,Monocyte,Human,0.005975021445204986,hIL13,-11.53633502354515
107,Monocyte,Human,0.006289565389484135,hIL13,-11.513888313578594
108,Monocyte,Human,0.006620535384592485,hIL13,-11.491441603612039
109,Monocyte,Human,0.006968774954882818,hIL13,-11.468994893645483
110,Monocyte,Human,0.007335169408000633,hIL13,-11.44654818367893
111,Monocyte,Human,0.007720647739491598,hIL13,-11.424101473712374
112,Monocyte,Human,0.008126184606231554,hIL13,-11.40165476374582
113,Monocyte,Human,0.008552802369105175,hIL13,-11.379208053779264
114,Monocyte,Human,0.009001573205074463,hIL13,-11.356761343812709
115,Monocyte,Human,0.009473621288453892,hIL13,-11.334314633846153
116,Monocyte,Human,0.009970125040838175,hIL13,-11.311867923879598
117,Monocyte,Human,0.01049231944870843,hIL13,-11.289421213913043
118,Monocyte,Human,0.01104149844726818,hIL13,-11.266974503946487
119,Monocyte,Human,0.011619017368527284,hIL13,-11.244527793979932
120,Monocyte,Human,0.012226295451054492,hIL13,-11.222081084013377
121,Monocyte,Human,0.012864818408153109,hIL13,-11.199634374046822
122,Monocyte,Human,0.013536141050472995,hIL13,-11.177187664080268
123,Monocyte,Human,0.014241889958251439,hIL13,-11.154740954113713
124,Monocyte,Human,0.014983766197467505,hIL13,-11.132294244147158
125,Monocyte,Human,0.015763548073197606,hIL13,-11.109847534180602
126,Monocyte,Human,0.016583093912362568,hIL13,-11.087400824214047
127,Monocyte,Human,0.017444344866858755,hIL13,-11.064954114247492
128,Monocyte,Human,0.018349327726758433,hIL13,-11.042507404280936
129,Monocyte,Human,0.01930015773184366,hIL13,-11.020060694314381
130,Monocyte,Human,0.020299041368199353,hIL13,-10.997613984347826
131,Monocyte,Human,0.02134827913492962,hIL13,-10.97516727438127
132,Monocyte,Human,0.02245026826427445,hIL13,-10.952720564414715
133,Monocyte,Human,0.023607505376489014,hIL13,-10.93027385444816
134,Monocyte,Human,0.024822589048803554,hIL13,-10.907827144481605
135,Monocyte,Human,0.026098222275609047,hIL13,-10.88538043451505
136,Monocyte,Human,0.027437214794715132,hIL13,-10.862933724548494
137,Monocyte,Human,0.02884248525210524,hIL13,-10.840487014581939
138,Monocyte,Human,0.03031706317507802,hIL13,-10.818040304615383
139,Monocyte,Human,0.03186409072102257,hIL13,-10.795593594648828
140,Monocyte,Human,0.03348682416634146,hIL13,-10.773146884682273
141,Monocyte,Human,0.03518863509722673,hIL13,-10.750700174715718
142,Monocyte,Human,0.03697301126113037,hIL13,-10.728253464749162
143,Monocyte,Human,0.038843557034880044,hIL13,-10.705806754782609
144,Monocyte,Human,0.04080399346250172,hIL13,-10.683360044816054
145,Monocyte,Human,0.04285815781295806,hIL13,-10.660913334849498
146,Monocyte,Human,0.045010002605248484,hIL13,-10.638466624882943
147,Monocyte,Human,0.047263594045672715,hIL13,-10.616019914916388
148,Monocyte,Human,0.04962310981961223,hIL13,-10.593573204949832
149,Monocyte,Human,0.05209283617797963,hIL13,-10.571126494983277
150,Monocyte,Human,0.054677164256603454,hIL13,-10.548679785016722
151,Monocyte,Human,0.0573805855653282,hIL13,-10.526233075050166
152,Monocyte,Human,0.060207686582601734,hIL13,-10.503786365083611
153,Monocyte,Human,0.06316314239088495,hIL13,-10.481339655117056
154,Monocyte,Human,0.0662517092884479,hIL13,-10.4588929451505
155,Monocyte,Human,0.0694782163141112,hIL13,-10.436446235183947
156,Monocyte,Human,0.07284755562336223,hIL13,-10.413999525217392
157,Monocyte,Human,0.07636467165711451,hIL13,-10.391552815250837
158,Monocyte,Human,0.0800345490483183,hIL13,-10.369106105284281
159,Monocyte,Human,0.0838621992167375,hIL13,-10.346659395317726
160,Monocyte,Human,0.08785264560861855,hIL13,-10.32421268535117
161,Monocyte,Human,0.09201090754575253,hIL13,-10.301765975384615
162,Monocyte,Human,0.09634198265766702,hIL13,-10.27931926541806
163,Monocyte,Human,0.10085082788142855,hIL13,-10.256872555451505
164,Monocyte,Human,0.10554233902585707,hIL13,-10.23442584548495
165,Monocyte,Human,0.11042132891078242,hIL13,-10.211979135518394
166,Monocyte,Human,0.11549250410749105,hIL13,-10.189532425551839
167,Monocyte,Human,0.12076044032338354,hIL13,-10.167085715585284
168,Monocyte,Human,0.12622955649229403,hIL13,-10.144639005618728
169,Monocyte,Human,0.13190408765159584,hIL13,-10.122192295652173
170,Monocyte,Human,0.1377880567080484,hIL13,-10.099745585685618
171,Monocyte,Human,0.1438852452160881,hIL13,-10.077298875719062
172,Monocyte,Human,0.1501991633146778,hIL13,-10.054852165752507
173,Monocyte,Human,0.15673301899158523,hIL13,-10.032405455785952
174,Monocyte,Human,0.1634896868667168,hIL13,-10.009958745819397
175,Monocyte,Human,0.17047167670848257,hIL13,-9.987512035852841
176,Monocyte,Human,0.17768110191868086,hIL13,-9.965065325886288
177,Monocyte,Human,0.18511964824160876,hIL13,-9.942618615919733
178,Monocyte,Human,0.1927885429715181,hIL13,-9.920171905953177
179,Monocyte,Human,0.20068852494870273,hIL13,-9.897725195986622
180,Monocyte,Human,0.20881981564785765,hIL13,-9.875278486020067
181,Monocyte,Human,0.21718209167247868,hIL13,-9.852831776053511
182,Monocyte,Human,0.2257744589754938,hIL13,-9.830385066086956
183,Monocyte,Human,0.23459542912863318,hIL13,-9.8079383561204
184,Monocyte,Human,0.24364289796091668,hIL13,-9.785491646153845
185,Monocyte,Human,0.2529141268797907,hIL13,-9.76304493618729
186,Monocyte,Human,0.2624057271766924,hIL13,-9.740598226220737
187,Monocyte,Human,0.2721136476020769,hIL13,-9.718151516254181
188,Monocyte,Human,0.2820331654732037,hIL13,-9.695704806287626
189,Monocyte,Human,0.29215888155142683,hIL13,-9.67325809632107
190,Monocyte,Human,0.3024847188945108,hIL13,-9.650811386354516
191,Monocyte,Human,0.3130039258540535,hIL13,-9.62836467638796
192,Monocyte,Human,0.3237090833488214,hIL13,-9.605917966421405
193,Monocyte,Human,0.33459211650226994,hIL13,-9.58347125645485
194,Monocyte,Human,0.3456443106873735,hIL13,-9.561024546488294
195,Monocyte,Human,0.3568563319748269,hIL13,-9.538577836521739
196,Monocyte,Human,0.3682182519324541,hIL13,-9.516131126555184
197,Monocyte,Human,0.37971957667509876,hIL13,-9.493684416588628
198,Monocyte,Human,0.3913492800161381,hIL13,-9.471237706622073
199,Monocyte,Human,0.40309584052490877,hIL13,-9.448790996655518
200,Monocyte,Human,0.41494728224949506,hIL13,-9.426344286688963
201,Monocyte,Human,0.42689121882227526,hIL13,-9.403897576722407
